# {tags[idx]},{tags[tidx]}
4.0088e-01,-6.8747e+00
4.0163e-01,-6.9075e+00
4.0238e-01,-6.9402e+00
4.0313e-01,-6.9729e+00
4.0388e-01,-7.0056e+00
4.0463e-01,-7.0383e+00
4.0539e-01,-7.0710e+00
4.0614e-01,-7.1037e+00
4.0689e-01,-7.1364e+00
4.0764e-01,-7.1692e+00
4.0839e-01,-7.2019e+00
4.0914e-01,-7.2346e+00
4.0989e-01,-7.2673e+00
4.1065e-01,-7.3000e+00
4.1140e-01,-7.3327e+00
4.1215e-01,-7.3654e+00
4.1290e-01,-7.3981e+00
4.1365e-01,-7.4309e+00
4.1440e-01,-7.4636e+00
4.1515e-01,-7.4963e+00
4.1591e-01,-7.5290e+00
4.1666e-01,-7.5617e+00
4.1741e-01,-7.5944e+00
4.1816e-01,-7.6271e+00
4.1891e-01,-7.6598e+00
4.1966e-01,-7.6925e+00
4.2042e-01,-7.7253e+00
4.2117e-01,-7.7580e+00
4.2192e-01,-7.7907e+00
4.2267e-01,-7.8234e+00
4.2342e-01,-7.8561e+00
4.2417e-01,-7.8888e+00
4.2492e-01,-7.9215e+00
4.2568e-01,-7.9542e+00
4.2643e-01,-7.9870e+00
4.2718e-01,-8.0197e+00
4.2793e-01,-8.0524e+00
4.2868e-01,-8.0851e+00
4.2943e-01,-8.1178e+00
4.3018e-01,-8.1505e+00
4.3094e-01,-8.1832e+00
4.3169e-01,-8.2159e+00
4.3244e-01,-8.2487e+00
4.3319e-01,-8.2814e+00
4.3394e-01,-8.3141e+00
4.3469e-01,-8.3468e+00
4.3545e-01,-8.3795e+00
4.3620e-01,-8.4122e+00
4.3695e-01,-8.4449e+00
4.3770e-01,-8.4776e+00
4.3845e-01,-8.5104e+00
4.3920e-01,-8.5431e+00
4.3995e-01,-8.5758e+00
4.4071e-01,-8.6085e+00
4.4146e-01,-8.6412e+00
4.4221e-01,-8.6739e+00
4.4296e-01,-8.7066e+00
4.4371e-01,-8.7393e+00
4.4446e-01,-8.7720e+00
4.4521e-01,-8.8048e+00
4.4597e-01,-8.8375e+00
4.4672e-01,-8.8702e+00
4.4747e-01,-8.9029e+00
