# {tags[idx]},{tags[tidx]}
8.2610e+00,-4.5389e+02
8.3052e+00,-4.5539e+02
8.3494e+00,-4.5689e+02
8.3936e+00,-4.5839e+02
8.4378e+00,-4.5989e+02
8.4819e+00,-4.6139e+02
8.5261e+00,-4.6289e+02
8.5703e+00,-4.6439e+02
8.6145e+00,-4.6589e+02
8.6586e+00,-4.6739e+02
8.7028e+00,-4.6889e+02
8.7470e+00,-4.7039e+02
8.7912e+00,-4.7189e+02
8.8353e+00,-4.7339e+02
8.8795e+00,-4.7489e+02
8.9237e+00,-4.7639e+02
8.9679e+00,-4.7789e+02
9.0120e+00,-4.7939e+02
9.0562e+00,-4.8089e+02
9.1004e+00,-4.8238e+02
9.1446e+00,-4.8388e+02
9.1888e+00,-4.8538e+02
9.2329e+00,-4.8688e+02
9.2771e+00,-4.8838e+02
9.3213e+00,-4.8988e+02
9.3655e+00,-4.9138e+02
9.4096e+00,-4.9288e+02
9.4538e+00,-4.9438e+02
9.4980e+00,-4.9588e+02
9.5422e+00,-4.9738e+02
9.5863e+00,-4.9888e+02
9.6305e+00,-5.0038e+02
9.6747e+00,-5.0188e+02
9.7189e+00,-5.0338e+02
9.7631e+00,-5.0488e+02
9.8072e+00,-5.0638e+02
9.8514e+00,-5.0788e+02
9.8956e+00,-5.0938e+02
9.9398e+00,-5.1088e+02
9.9839e+00,-5.1238e+02
1.0028e+01,-5.1388e+02
1.0072e+01,-5.1538e+02
1.0116e+01,-5.1688e+02
1.0161e+01,-5.1837e+02
1.0205e+01,-5.1987e+02
1.0249e+01,-5.2137e+02
1.0293e+01,-5.2287e+02
1.0337e+01,-5.2437e+02
1.0382e+01,-5.2587e+02
1.0426e+01,-5.2737e+02
1.0470e+01,-5.2887e+02
1.0514e+01,-5.3037e+02
1.0558e+01,-5.3187e+02
1.0602e+01,-5.3337e+02
1.0647e+01,-5.3487e+02
1.0691e+01,-5.3637e+02
1.0735e+01,-5.3787e+02
1.0779e+01,-5.3937e+02
1.0823e+01,-5.4087e+02
1.0867e+01,-5.4237e+02
1.0912e+01,-5.4387e+02
1.0956e+01,-5.4537e+02
1.1000e+01,-5.4687e+02
