# {tags[idx]},{tags[tidx]}
6.0000e+00,-5.5478e+02
6.0241e+00,-5.5259e+02
6.0482e+00,-5.5040e+02
6.0723e+00,-5.4821e+02
6.0964e+00,-5.4602e+02
6.1205e+00,-5.4383e+02
6.1446e+00,-5.4164e+02
6.1687e+00,-5.3945e+02
6.1928e+00,-5.3726e+02
6.2169e+00,-5.3507e+02
6.2410e+00,-5.3288e+02
6.2651e+00,-5.3069e+02
6.2892e+00,-5.2850e+02
6.3133e+00,-5.2631e+02
6.3373e+00,-5.2412e+02
6.3614e+00,-5.2193e+02
6.3855e+00,-5.1974e+02
6.4096e+00,-5.1755e+02
6.4337e+00,-5.1537e+02
6.4578e+00,-5.1318e+02
6.4819e+00,-5.1099e+02
6.5060e+00,-5.0880e+02
6.5301e+00,-5.0661e+02
6.5542e+00,-5.0442e+02
6.5783e+00,-5.0223e+02
6.6024e+00,-5.0004e+02
6.6265e+00,-4.9785e+02
6.6506e+00,-4.9566e+02
6.6747e+00,-4.9347e+02
6.6988e+00,-4.9128e+02
6.7229e+00,-4.8909e+02
6.7470e+00,-4.8690e+02
6.7711e+00,-4.8471e+02
6.7952e+00,-4.8252e+02
6.8193e+00,-4.8033e+02
6.8434e+00,-4.7814e+02
6.8675e+00,-4.7595e+02
6.8916e+00,-4.7376e+02
6.9157e+00,-4.7158e+02
6.9398e+00,-4.6939e+02
6.9639e+00,-4.6720e+02
6.9880e+00,-4.6501e+02
7.0120e+00,-4.6282e+02
7.0361e+00,-4.6063e+02
7.0602e+00,-4.5844e+02
7.0843e+00,-4.5625e+02
7.1084e+00,-4.5406e+02
7.1325e+00,-4.5187e+02
7.1566e+00,-4.4968e+02
7.1807e+00,-4.4749e+02
7.2048e+00,-4.4530e+02
7.2289e+00,-4.4311e+02
7.2530e+00,-4.4092e+02
7.2771e+00,-4.3873e+02
7.3012e+00,-4.3654e+02
7.3253e+00,-4.3435e+02
7.3494e+00,-4.3216e+02
7.3735e+00,-4.2998e+02
7.3976e+00,-4.2779e+02
7.4217e+00,-4.2560e+02
7.4458e+00,-4.2341e+02
7.4699e+00,-4.2122e+02
7.4940e+00,-4.1903e+02
7.5181e+00,-4.1684e+02
7.5422e+00,-4.1465e+02
7.5663e+00,-4.1246e+02
7.5904e+00,-4.1027e+02
7.6145e+00,-4.0808e+02
7.6386e+00,-4.0589e+02
7.6627e+00,-4.0370e+02
7.6867e+00,-4.0151e+02
7.7108e+00,-3.9932e+02
7.7349e+00,-3.9713e+02
7.7590e+00,-3.9494e+02
7.7831e+00,-3.9275e+02
7.8072e+00,-3.9093e+02
7.8313e+00,-3.9179e+02
7.8554e+00,-3.9265e+02
7.8795e+00,-3.9351e+02
7.9036e+00,-3.9438e+02
7.9277e+00,-3.9524e+02
7.9518e+00,-3.9610e+02
7.9759e+00,-3.9696e+02
8.0000e+00,-3.9782e+02
8.0241e+00,-3.9868e+02
8.0482e+00,-3.9954e+02
8.0723e+00,-4.0040e+02
8.0964e+00,-4.0126e+02
8.1205e+00,-4.0212e+02
8.1446e+00,-4.0298e+02
8.1687e+00,-4.0384e+02
8.1928e+00,-4.0470e+02
8.2169e+00,-4.0556e+02
8.2410e+00,-4.0642e+02
8.2651e+00,-4.0728e+02
8.2892e+00,-4.0814e+02
8.3133e+00,-4.0900e+02
8.3373e+00,-4.0986e+02
8.3614e+00,-4.1072e+02
8.3855e+00,-4.1159e+02
8.4096e+00,-4.1245e+02
8.4337e+00,-4.1331e+02
8.4578e+00,-4.1417e+02
8.4819e+00,-4.1503e+02
8.5060e+00,-4.1589e+02
8.5301e+00,-4.1675e+02
8.5542e+00,-4.1761e+02
8.5783e+00,-4.1847e+02
8.6024e+00,-4.1933e+02
8.6265e+00,-4.2019e+02
8.6506e+00,-4.2105e+02
8.6747e+00,-4.2191e+02
8.6988e+00,-4.2277e+02
8.7229e+00,-4.2363e+02
8.7470e+00,-4.2449e+02
8.7711e+00,-4.2535e+02
8.7952e+00,-4.2621e+02
8.8193e+00,-4.2707e+02
8.8434e+00,-4.2794e+02
8.8675e+00,-4.2880e+02
8.8916e+00,-4.2966e+02
8.9157e+00,-4.3052e+02
8.9398e+00,-4.3138e+02
8.9639e+00,-4.3224e+02
8.9880e+00,-4.3310e+02
9.0120e+00,-4.3396e+02
9.0361e+00,-4.3482e+02
9.0602e+00,-4.3568e+02
9.0843e+00,-4.3654e+02
9.1084e+00,-4.3740e+02
9.1325e+00,-4.3826e+02
9.1566e+00,-4.3912e+02
9.1807e+00,-4.3998e+02
9.2048e+00,-4.4084e+02
9.2289e+00,-4.4170e+02
9.2530e+00,-4.4256e+02
9.2771e+00,-4.4342e+02
9.3012e+00,-4.4429e+02
9.3253e+00,-4.4515e+02
9.3494e+00,-4.4601e+02
9.3735e+00,-4.4687e+02
9.3976e+00,-4.4773e+02
9.4217e+00,-4.4859e+02
9.4458e+00,-4.4945e+02
9.4699e+00,-4.5031e+02
9.4940e+00,-4.5117e+02
9.5181e+00,-4.5203e+02
9.5422e+00,-4.5289e+02
9.5663e+00,-4.5375e+02
9.5904e+00,-4.5461e+02
9.6145e+00,-4.5547e+02
9.6386e+00,-4.5633e+02
9.6627e+00,-4.5719e+02
9.6867e+00,-4.5805e+02
9.7108e+00,-4.5891e+02
9.7349e+00,-4.5977e+02
9.7590e+00,-4.6063e+02
9.7831e+00,-4.6150e+02
9.8072e+00,-4.6236e+02
9.8313e+00,-4.6322e+02
9.8554e+00,-4.6408e+02
9.8795e+00,-4.6494e+02
9.9036e+00,-4.6580e+02
9.9277e+00,-4.6666e+02
9.9518e+00,-4.6752e+02
9.9759e+00,-4.6838e+02
1.0000e+01,-4.6924e+02
1.0024e+01,-4.7010e+02
1.0048e+01,-4.7096e+02
1.0072e+01,-4.7182e+02
1.0096e+01,-4.7268e+02
1.0120e+01,-4.7354e+02
1.0145e+01,-4.7440e+02
1.0169e+01,-4.7526e+02
1.0193e+01,-4.7612e+02
1.0217e+01,-4.7698e+02
1.0241e+01,-4.7785e+02
1.0265e+01,-4.7871e+02
1.0289e+01,-4.7957e+02
1.0313e+01,-4.8043e+02
1.0337e+01,-4.8129e+02
1.0361e+01,-4.8215e+02
1.0386e+01,-4.8301e+02
1.0410e+01,-4.8387e+02
1.0434e+01,-4.8473e+02
1.0458e+01,-4.8559e+02
1.0482e+01,-4.8645e+02
1.0506e+01,-4.8731e+02
1.0530e+01,-4.8817e+02
1.0554e+01,-4.8903e+02
1.0578e+01,-4.8989e+02
1.0602e+01,-4.9075e+02
1.0627e+01,-4.9161e+02
1.0651e+01,-4.9247e+02
1.0675e+01,-4.9333e+02
1.0699e+01,-4.9420e+02
1.0723e+01,-4.9506e+02
1.0747e+01,-4.9592e+02
1.0771e+01,-4.9678e+02
1.0795e+01,-4.9764e+02
1.0819e+01,-4.9850e+02
1.0843e+01,-4.9936e+02
1.0867e+01,-5.0022e+02
1.0892e+01,-5.0108e+02
1.0916e+01,-5.0194e+02
1.0940e+01,-5.0280e+02
1.0964e+01,-5.0366e+02
1.0988e+01,-5.0452e+02
1.1012e+01,-5.0538e+02
1.1036e+01,-5.0624e+02
1.1060e+01,-5.0710e+02
1.1084e+01,-5.0796e+02
1.1108e+01,-5.0882e+02
1.1133e+01,-5.0968e+02
1.1157e+01,-5.1055e+02
1.1181e+01,-5.1141e+02
1.1205e+01,-5.1227e+02
1.1229e+01,-5.1313e+02
1.1253e+01,-5.1399e+02
1.1277e+01,-5.1485e+02
1.1301e+01,-5.1571e+02
1.1325e+01,-5.1657e+02
1.1349e+01,-5.1743e+02
1.1373e+01,-5.1829e+02
1.1398e+01,-5.1915e+02
1.1422e+01,-5.2001e+02
1.1446e+01,-5.2087e+02
1.1470e+01,-5.2173e+02
1.1494e+01,-5.2259e+02
1.1518e+01,-5.2345e+02
1.1542e+01,-5.2431e+02
1.1566e+01,-5.2517e+02
1.1590e+01,-5.2603e+02
1.1614e+01,-5.2689e+02
1.1639e+01,-5.2776e+02
1.1663e+01,-5.2862e+02
1.1687e+01,-5.2948e+02
1.1711e+01,-5.3034e+02
1.1735e+01,-5.3120e+02
1.1759e+01,-5.3206e+02
1.1783e+01,-5.3292e+02
1.1807e+01,-5.3378e+02
1.1831e+01,-5.3464e+02
1.1855e+01,-5.3550e+02
1.1880e+01,-5.3636e+02
1.1904e+01,-5.3722e+02
1.1928e+01,-5.3808e+02
1.1952e+01,-5.3894e+02
1.1976e+01,-5.3980e+02
1.2000e+01,-5.4066e+02
